Year;Name
2018;Mayon
2018;Kusatsu-Shirane
2018;Kilauea
2018;Kadovar
2018;Ijen
2018;Aoba
2018;Kilauea
2018;Fuego
2018;Kilauea
2018;Manam
2018;Ambrym
2018;Krakatau
2018;Etna
2019;Manam
2019;Sinabung
2019;Ulawun
2019;Manam
2019;Stromboli
2019;Stromboli
